Input Decimal,Input Binario,Resultado Binario,Resultado Decimal,Tiempo Ejecucion (ms)
1,1,1,1,0.0001
2,10,1,1,0.0001
3,11,10,2,0.0001
4,100,11,3,0.0001
5,101,101,5,0.0001
6,110,1000,8,1.1904239654541016
7,111,1101,13,0.0001
8,1000,10101,21,1.3842582702636719
9,1001,100010,34,0.0001
10,1010,110111,55,0.0001
11,1011,1011001,89,2.001047134399414
12,1100,10010000,144,1.0008811950683594
13,1101,11101001,233,1.0001659393310547
14,1110,101111001,377,2.502918243408203
15,1111,1001100010,610,1.0387897491455078
16,10000,1111011011,987,1.714944839477539
17,10001,11000111101,1597,2.0055770874023438
18,10010,101000011000,2584,1.9998550415039062
19,10011,1000001010101,4181,2.0012855529785156
20,10100,1101001101101,6765,1.5041828155517578
21,10101,10101011000010,10946,2.006053924560547
22,10110,100010100101111,17711,1.9989013671875
23,10111,110111111110001,28657,2.0902156829833984
24,11000,1011010100100000,46368,1.0008811950683594
25,11001,10010010100010001,75025,3.5800933837890625
26,11010,11101101000110001,121393,2.001047134399414
27,11011,101111111101000010,196418,2.414703369140625
28,11100,1001101100101110011,317811,2.504587173461914
29,11101,1111101100010110101,514229,3.0050277709960938
30,11110,11001011001000101000,832040,3.4415721893310547
31,11111,101001000101011011101,1346269,3.0059814453125
32,100000,1000010011110100000101,2178309,3.0450820922851562
33,100001,1101011100011111100010,3524578,3.0248165130615234
34,100010,10101110000010011100111,5702887,3.006458282470703
35,100011,100011001100110011001001,9227465,3.511190414428711
36,100100,111000111101000110110000,14930352,3.464937210083008
37,100101,1011100001001111001111001,24157817,3.5037994384765625
38,100110,10010101000111000000101001,39088169,4.00543212890625
39,100111,11110001010000111010100010,63245986,5.265235900878906
40,101000,110000110010111111011001011,102334155,5.17725944519043
41,101001,1001110111101000110101101101,165580141,5.965471267700195
42,101010,1111111110000000110000111000,267914296,4.078865051269531
43,101011,11001110101101001100110100101,433494437,4.509210586547852
44,101100,101001110011101010010111011101,701408733,5.477666854858398
45,101101,1000011101001010011111110000010,1134903170,6.510496139526367
46,101110,1101101011100111110010101011111,1836311903,6.986141204833984
47,101111,10110001000110010010010011100001,2971215073,6.926536560058594
48,110000,100011110100011010000101001000000,4807526976,7.815837860107422
49,110001,111001111101001100010111100100001,7778742049,7.440805435180664
50,110010,1011101110001100110011100101100001,12586269025,7.375001907348633
51,110011,10010111101110110010110100010000010,20365011074,9.42850112915039
52,110100,11110101100000011001010000111100011,32951280099,7.8144073486328125
53,110101,110001101001111001100000101001100101,53316291173,6.05463981628418
54,110110,1010000010101111100101010110001001000,86267571272,7.024049758911133
55,110111,10000001111111110110001011011010101101,139583862445,6.998777389526367
56,111000,11010010010101110010110110001011110101,225851433717,7.532835006713867
57,111001,101010100010101101001000001100110100010,365435296162,7.51042366027832
58,111010,1000100110101011011011110111110010010111,591286729879,8.976459503173828
59,111011,1101111011000001000100111001011000111001,956722026041,8.009910583496094
60,111100,10110100001101100100000110001001011010000,1548008755920,8.076190948486328
61,111101,100100011100101101100101101010100100001001,2504730781961,8.445262908935547
62,111110,111010111110011010000110011011101111011001,4052739537881,9.818553924560547
63,111111,1011111011011000111101100000110010011100010,6557470319842,8.38470458984375
64,1000000,10011010011001100001110010100010000010111011,10610209857723,41.57590866088867
65,1000001,11111001110100101001011110101000010110011101,17167680177565,10.512828826904297
66,1000010,110010100001110001011010001001010011001011000,27777890035288,9.50932502746582
67,1000011,1010001110000010110100101111110010101111110101,44945570212853,9.340286254882812
68,1000100,10000100010010001000000000000111101001001001101,72723460248141,10.058879852294922
69,1000101,11010110000010011110100110000101111111001000010,117669030460994,10.730981826782227
70,1000110,101011010010100100110100110001101101000010001111,190392490709135,11.081218719482422
